time line,Change of Energy Intkae (Kcal/d),SE of Delta EI,Change of Energy Expenditure (Kcal/d),SE of Delta EE
7.0,-564.7030654123265,1.0189490450167331,-165.11916867162918,1.0122267259997195
21.0,585.3307717349196,2.052650562510365,159.30583170608836,2.057361985472033
35.0,-1646.7598271374804,2.6954650659259793,-468.07639673830374,2.656133665116549
49.0,-611.4501026802294,3.2107803220473663,-210.22909506118938,3.1384825973092556
63.0,37.31448290579087,3.7462984906458257,-64.80347819251949,3.613608562417063
77.0,-210.91528936011713,4.238635333550856,-143.34510440202936,4.060980400386495
91.0,1344.0536293579662,4.644493639629051,267.9166247364039,4.446332925267662
105.0,-2025.408715611036,4.9384355249087335,-602.5060677294107,4.779809665076583
119.0,1707.615267479704,5.299701791378547,373.15179467162284,5.098264993015986
133.0,-2443.1429709173776,5.574078052211841,-764.2939774780707,5.2571979603580035
147.0,-62.42423165111649,5.8231574093458045,-151.70507537955393,5.4416377321157094
161.0,445.46342099920446,6.048202404543139,-19.868771239807266,5.642305344807528
175.0,-1763.9544673178289,6.276974957953852,-630.9363329523627,5.781138122258683
189.0,824.9975773855748,6.512800701984794,57.89937046548031,6.003264140749603
203.0,-115.20958042597769,6.764427905934739,-175.48116884141842,6.288540176548712
217.0,-2478.003745682503,6.976467451636768,-857.8245597727772,6.300942285991753
231.0,586.7783401181437,7.196523626999193,-90.33280261096971,6.358736700381986
245.0,1562.8313293157962,7.406562172651955,224.36729596460668,6.734622205036038
259.0,-768.2739436906418,7.6185167107872855,-407.47457671103035,6.869024169678656
273.0,-246.3838584834098,7.759874733967289,-288.9687861556198,6.918824624650958
287.0,-3901.6004469908103,7.904158524782955,-1308.5623640384672,6.86070207008091
301.0,1531.410025873335,8.067478849555576,111.21959791387202,6.937032876543891
315.0,664.0894405199936,8.319726408655665,-96.49506477711391,7.236123584459274
329.0,2047.254367046305,8.490072656120182,313.16273789123056,7.551700514550427
343.0,-3663.427455150222,8.607536619758145,-1242.183239747912,7.481200078348253
357.0,281.00708158338875,8.672539381012992,-247.0441976768051,7.340946194778509
371.0,-775.0323835192888,8.806024384003434,-531.321213340186,7.432855992425351
385.0,-2605.0535583733517,9.043559870142682,-1054.6511840303074,7.464490750137528
399.0,2631.567287967135,9.21430154869712,317.71936523012346,7.5324423180906255
413.0,383.8356755859331,9.337263325956277,-239.20274216013766,7.795768837360971
427.0,-2915.514107797645,9.515193171217664,-1148.3218840950829,7.7961875734275825
441.0,-1232.4459656204517,9.638125128505234,-738.9675289576536,7.736859544915801
455.0,2243.107958217605,9.750053845316723,179.4757476807108,7.814486137868312
469.0,-2726.3837905945497,9.929980350361912,-1162.460097864242,7.846599065252431
483.0,3036.9638563601225,10.02744024085365,377.1049238765407,7.977292647903677
497.0,-198.50508400807902,10.176053223148688,-460.5223500873228,8.176542651541387
511.0,-837.1122592369609,10.322073286658592,-667.9891443579127,8.1270234630049
525.0,-323.25384456853016,10.470295644747676,-524.0228728957782,8.28373971797765
539.0,-2174.4668708920944,10.629550371303266,-1057.7428624422876,8.200934536215055
